"","user_id","user_name","yelping_since","user_averageStars","isElite","userCountLV","review_star","business_id","rest_name","rest_stars","city","state","rest_reviewCount","full_address","category"
"1","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 393","Rocco's NY Pizzeria",4,"Las Vegas","NV",238,"10860 W Charleston Blvd
Ste 190
Summerlin
Las Vegas, NV 89135","Pizza"
"2","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 3367","Bachi Burger",4,"Las Vegas","NV",2622,"470 E Windmill Ln
Ste 100
Southeast
Las Vegas, NV 89123","Burgers"
"3","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 374","Amigos Tacos",4,"Las Vegas","NV",59,"7425 S Durango Dr
Southwest
Las Vegas, NV 89113","Mexican"
"4","u 1","Michael","2008-04",3.82,"Elite",18,3,"r 763","Mark Rich's New York Pizza & Pasta",3,"Las Vegas","NV",139,"11710 W Charleston Blvd
Summerlin
Las Vegas, NV 89135","Italian, Pizza"
"5","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 370","Pho Saigon 8",3.5,"Las Vegas","NV",405,"5650 Spring Mountain Rd
Chinatown
Las Vegas, NV 89146","Vietnamese"
"6","u 1","Michael","2008-04",3.82,"Elite",18,2,"r 2844","Pop's Philly Steaks",3.5,"Las Vegas","NV",408,"501 S Decatur Blvd
Westside
Las Vegas, NV 89107","Cheesesteaks, Sandwiches"
"7","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 4660","Tokyo Sushi House",3,"Las Vegas","NV",212,"10040 W Cheyenne Ave
Ste 150
Summerlin
Las Vegas, NV 89129","Sushi Bars, Japanese"
"8","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 3908","Ping Pang Pong",3.5,"Las Vegas","NV",662,"Gold Coast Hotel & Casino
4000 W Flamingo Rd
Las Vegas, NV 89103","Seafood, Cantonese, Dim Sum, Chinese"
"9","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 2684","Slidin' Thru",4,"Las Vegas","NV",369,"500 S Grand Central Pkwy
Downtown
Las Vegas, NV 89155","Food, Burgers, Food Trucks"
"10","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 4098","Sushi Mon",3.5,"Las Vegas","NV",269,"8320 W Sahara Ave
Ste 180
Westside
Las Vegas, NV 89117","Sushi Bars, Japanese"
"11","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 455","Capriotti's Sandwich Shop",4,"Las Vegas","NV",70,"Red Rock Casino Resort
11011 W Charleston Blvd
South Summerlin
Las Vegas, NV 89135","Sandwiches"
"12","u 1","Michael","2008-04",3.82,"Elite",18,2,"r 1762","Pho Hung Restaurant",3,"Las Vegas","NV",86,"5288 Spring Mountain Rd
Ste 106
Chinatown
Las Vegas, NV 89146","Vietnamese, Asian Fusion"
"13","u 1","Michael","2008-04",3.82,"Elite",18,1,"r 2279","Garduños",3,"Las Vegas","NV",116,"Palms Casino Resort
4321 W Flamingo Rd
Las Vegas, NV 89103","Mexican"
"14","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 1684","Familia Pizzeria",4,"Las Vegas","NV",243,"8090 S Durango Dr
Southwest
Las Vegas, NV 89113","Pizza"
"15","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 3512","Pho Huong Saigon",2,"Las Vegas","NV",26,"3650 S Decatur Blvd
Chinatown
Las Vegas, NV 89103","Vietnamese"
"16","u 1","Michael","2008-04",3.82,"Elite",18,5,"r 3815","The Peppermill Restaurant & Fireside Lounge",4,"Las Vegas","NV",2120,"2985 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109","Bars, American (Traditional), Breakfast & Brunch, Nightlife, Lounges"
"17","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 2333","India Palace",4,"Las Vegas","NV",587,"505 E Twain Ave
Eastside
Las Vegas, NV 89169","Indian"
"18","u 1","Michael","2008-04",3.82,"Elite",18,4,"r 4209","El Patron Mexican Restaurant & Oyster Bar",3.5,"Las Vegas","NV",21,"2797 S Maryland Pkwy
Eastside
Las Vegas, NV 89109","Mexican"
